TF	Target
YAL051W	YMR113W
YAL051W	YMR118C
YAL051W	YMR121C
YAL051W	YMR122W-A
YAL051W	YMR130W
YAL051W	YMR135C
YAL051W	YMR136W
YAL051W	YMR142C
YAL051W	YMR143W
YAL051W	YMR145C
YAL051W	YMR146C
YAL051W	YMR169C
YAL051W	YMR171C
YAL051W	YMR174C
YAL051W	YMR175W
YAL051W	YMR178W
YAL051W	YMR180C
YAL051W	YMR184W
YAL051W	YMR197C
YAL051W	YMR199W
YAL051W	YMR200W
YAL051W	YMR205C
YAL051W	YMR206W
YAL051W	YMR209C
YAL051W	YMR210W
YAL051W	YMR216C
YAL051W	YMR217W
YAL051W	YMR220W
YAL051W	YMR224C
YAL051W	YMR226C
YAL051W	YMR227C
YAL051W	YMR235C
YAL051W	YMR244C-A
YAL051W	YMR246W
YAL051W	YMR250W
YAL051W	YMR251W-A
YAL051W	YMR265C
YAL051W	YMR266W
YAL051W	YMR272C
YAL051W	YMR275C
YAL051W	YMR277W
YAL051W	YMR291W
YAL051W	YMR294W-A
YAL051W	YMR295C
YAL051W	YMR303C
YAL051W	YMR305C
YAL051W	YMR313C
YAL051W	YMR314W
YAL051W	YMR316W
YAL051W	YMR321C
YAL051W	YMR322C
YAL051W	YMR323W
YAL051W	YNL002C
YAL051W	YNL009W
YAL051W	YNL011C
YAL051W	YNL030W
YAL051W	YNL031C
YAL051W	YNL055C
YAL051W	YNL065W
YAL051W	YNL076W
YAL051W	YNL090W
YAL051W	YNL096C
YAL051W	YNL098C
YAL051W	YNL099C
YAL051W	YNL100W
YAL051W	YNL103W
YAL051W	YNL104C
YAL051W	YNL109W
YAL051W	YNL117W
YAL051W	YNL118C
YAL051W	YNL128W
YAL051W	YNL141W
YAL051W	YNL143C
YAL051W	YNL144C
YAL051W	YNL147W
YAL051W	YNL148C
YAL051W	YNL149C
YAL051W	YNL155W
YAL051W	YNL160W
YAL051W	YNL179C
YAL051W	YNL180C
YAL051W	YNL182C
YAL051W	YNL194C
YAL051W	YNL195C
YAL051W	YNL202W
YAL051W	YNL204C
YAL051W	YNL231C
YAL051W	YNL241C
YAL051W	YNL252C
YAL051W	YNL264C
YAL051W	YNL266W
YAL051W	YNL270C
YAL051W	YNL284C
YAL051W	YNL289W
YAL051W	YNL290W
YAL051W	YNL299W
YAL051W	YNL300W
YAL051W	YNL310C
YAL051W	YNL312W
YAL051W	YNL315C
YAL051W	YNL321W
YAL051W	YNL322C
YAL051W	YNL327W
YAL051W	YNL329C
YAL051W	YNL339C
YAL051W	YNR001C
YAL051W	YNR002C
YAL051W	YNR003C
YAL051W	YNR006W
YAL051W	YNR016C
YAL051W	YNR017W
YAL051W	YNR018W
YAL051W	YNR019W
YAL051W	YNR027W
YAL051W	YNR029C
YAL051W	YNR035C
YAL051W	YNR037C
YAL051W	YNR046W
YAL051W	YNR050C
YAL051W	YOL001W
YAL051W	YOL002C
YAL051W	YOL005C
YAL051W	YOL011W
YAL051W	YOL016C
YAL051W	YOL032W
YAL051W	YOL036W
YAL051W	YOL038W
YAL051W	YOL041C
YAL051W	YOL044W
YAL051W	YOL052C-A
YAL051W	YOL082W
YAL051W	YOL083W
YAL051W	YOL084W
YAL051W	YOL086C
YAL051W	YOL101C
YAL051W	YOL102C
YAL051W	YOL107W
YAL051W	YOL109W
YAL051W	YOL110W
YAL051W	YOL111C
YAL051W	YOL119C
YAL051W	YOL125W
YAL051W	YOL126C
YAL051W	YOL127W
YAL051W	YOL128C
YAL051W	YOL139C
YAL051W	YOL146W
YAL051W	YOL147C
YAL051W	YOL149W
YAL051W	YOL156W
YAL051W	YOR015W
YAL051W	YOR017W
YAL051W	YOR026W
YAL051W	YOR031W
YAL051W	YOR042W
YAL051W	YOR043W
YAL051W	YOR048C
YAL051W	YOR049C
YAL051W	YOR050C
YAL051W	YOR052C
YAL051W	YOR059C
YAL051W	YOR064C
YAL051W	YOR065W
YAL051W	YOR074C
YAL051W	YOR076C
YAL051W	YOR078W
YAL051W	YOR082C
YAL051W	YOR084W
YAL051W	YOR092W
YAL051W	YOR100C
YAL051W	YOR101W
YAL051W	YOR105W
YAL051W	YOR107W
YAL051W	YOR117W
YAL051W	YOR118W
YAL051W	YOR138C
YAL051W	YOR140W
YAL051W	YOR148C
YAL051W	YOR152C
YAL051W	YOR153W
YAL051W	YOR154W
YAL051W	YOR178C
YAL051W	YOR180C
YAL051W	YOR182C
YAL051W	YOR184W
YAL051W	YOR186W
YAL051W	YOR190W
YAL051W	YOR194C
YAL051W	YOR202W
YAL051W	YOR209C
YAL051W	YOR219C
YAL051W	YOR220W
YAL051W	YOR226C
YAL051W	YOR229W
YAL051W	YOR230W
YAL051W	YOR244W
YAL051W	YOR256C
YAL051W	YOR261C
YAL051W	YOR267C
YAL051W	YOR268C
YAL051W	YOR269W
YAL051W	YOR273C
YAL051W	YOR274W
YAL051W	YOR278W
YAL051W	YOR291W
YAL051W	YOR292C
YAL051W	YOR293W
YAL051W	YOR298W
YAL051W	YOR302W
YAL051W	YOR313C
YAL051W	YOR315W
YAL051W	YOR316C-A
YAL051W	YOR317W
YAL051W	YOR318C
YAL051W	YOR319W
YAL051W	YOR332W
YAL051W	YOR342C
YAL051W	YOR344C
YAL051W	YOR348C
YAL051W	YOR349W
YAL051W	YOR354C
YAL051W	YOR357C
YAL051W	YOR362C
YAL051W	YOR363C
YAL051W	YOR367W
YAL051W	YOR369C
YAL051W	YOR375C
YAL051W	YOR382W
YAL051W	YOR391C
YAL051W	YPL004C
