Uniprot_ID;Gene_ID;Gene;Function;Essentiality_Y_N;Essentiality_0_1;Essentiality_0_1keeping;Essentiality_0_11notkeeping
P39811;b1064;grxB;Glutaredoxin 2;N;0;0;0
P37687;b3610;grxC;Glutaredoxin 3;N;0;0;0
P06980;b2688;gshA;Glutamate--cysteine ligase (EC 6.3.2.2);N;0;0;0
P04425;b2947;gshB;Glutathione synthetase (EC 6.3.2.3);E;1;1;0
P22937;b0477;gsk;Inosine-guanosine kinase (EC 2.7.1.73);N;0;0;0
P43675;b2988;gsp;Bifunctional glutathionylspermidine synthetase/amidase;N;0;0;0
P45756;b3323;gspA;Probable general secretion pathway protein A;N;0;0;0
P45757;b3324;gspC;Probable general secretion pathway protein C;X;0;0;0
P45758;b3325;gspD;Probable general secretion pathway protein D precursor;X;0;0;0
P45759;b3326;gspE;Probable general secretion pathway protein E;N;0;0;0
P45760;b3330;gspI;Probable general secretion pathway protein I precursor;X;0;0;0
P45761;b3331;gspJ;Probable general secretion pathway protein J precursor;N;0;0;0
P45762;b3332;gspK;Probable general secretion pathway protein K;N;0;0;0
P45763;b3333;gspL;Probable general secretion pathway protein L;N;0;0;0
P39100;b1635;gst;Glutathione S-transferase (EC 2.5.1.18);N;0;0;0
P04079;b2507;guaA;GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2);N;0;1;1
P06981;b2508;guaB;Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205);N;0;1;1
P15344;b0104;guaC;GMP reductase (EC 1.6.6.8);N;0;0;0
P76641;b2883;guaD;Guanine deaminase (EC 3.5.4.3);N;0;0;0
P76637;b2787;gudD;Glucarate dehydratase (EC 4.2.1.40);N;0;0;0
Q46916;b2789;gudP;Probable glucarate transporter;N;0;0;0
Q46915;b2788;gudX;Glucarate dehydratase related protein (EC 4.2.1.-);N;0;0;0
P15081;b2706;gutM;Glucitol operon activator protein;N;0;0;0
P17115;b2708;gutQ;GutQ protein;N;0;0;0
P09097;b2231;gyrA;DNA gyrase subunit A (EC 5.99.1.3);E;1;1;1
P06982;b3699;gyrB;DNA gyrase subunit B (EC 5.99.1.3);X;0;1;1
P33012;b2009;gyrI;DNA gyrase inhibitory protein;E;1;1;0
P77646;b2541;hcaB;2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase (EC 1.3.1.-);N;0;0;0
P77266;b2540;hcaC;3-phenylpropionate dioxygenase ferredoxin subunit;E;1;1;0
P77650;b2542;hcaD;3-phenylpropionate dioxygenase ferredoxin--NAD(+) reductase component (EC 1.18.1.3);N;0;0;0
Q47139;b2538;hcaE;3-phenylpropionate dioxygenase alpha subunit (EC 1.14.1.-);N;0;0;0
Q47140;b2539;hcaF;3-phenylpropionate dioxygenase beta subunit (EC 1.14.1.-);E;1;1;0
Q47141;b2537;hcaR;Hca operon transcriptional activator;?;0;0;0
Q47142;b2536;hcaT;Probable 3-phenylpropionic acid transporter;N;0;0;0
P75825;b0873;hcp;Prismane protein homolog;N;0;0;0
P75824;b0872;hcr;NADH oxidoreductase hcr (EC 1.-.-.-);N;0;0;0
P26604;b3510;hdeA;Protein hdeA precursor;X;0;0;0
P26605;b3509;hdeB;Protein hdeB precursor;X;0;0;0
P26603;b3511;hdeD;HdeD protein;X;0;0;0
P25529;b1619;hdhA;7-alpha-hydroxysteroid dehydrogenase (EC 1.1.1.159);N;0;0;0
P15038;b0962;helD;Helicase IV (EC 3.6.1.-);N;0;0;0
P13580;b1210;hemA;Glutamyl-tRNA reductase (EC 1.2.1.-);X;0;1;1
P15002;b0369;hemB;Delta-aminolevulinic acid dehydratase (EC 4.2.1.24);E;1;1;1
P06983;b3805;hemC;Porphobilinogen deaminase (EC 4.3.1.8);E;1;1;1
P09126;b3804;hemD;Uroporphyrinogen-III synthase (EC 4.2.1.75);E;1;1;1
P29680;b3997;hemE;Uroporphyrinogen decarboxylase (EC 4.1.1.37);E;1;1;1
P36553;b2436;hemF;Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3);N;0;0;0
