Gene;Gene_ID;Phenotype;Essentiality_0_1
ATG23;YLR431C;viable;0
ATG26;YLR189C;viable;0
ATG26;YLR189C;viable;0
ATG27;YJL178C;viable;0
ATG27;YJL178C;viable;0
ATG29;YPL166W;viable;0
ATG29;YPL166W;viable;0
ATG3;YNR007C;viable;0
ATG3;YNR007C;viable;0
ATG31;YDR022C;viable;0
ATG31;YDR022C;viable;0
ATG31;YDR022C;viable;0
ATG32;YIL146C;viable;0
ATG32;YIL146C;viable;0
ATG33;YLR356W;viable;0
ATG33;YLR356W;viable;0
ATG33;YLR356W;viable;0
ATG33;YLR356W;viable;0
ATG34;YOL083W;viable;0
ATG34;YOL083W;viable;0
ATG36;YJL185C;viable;0
ATG36;YJL185C;viable;0
ATG38;YLR211C;viable;0
ATG39;YLR312C;viable;0
ATG39;YLR312C;viable;0
ATG4;YNL223W;viable;0
ATG40;YOR152C;viable;0
ATG41;YPL250C;viable;0
ATG42;YBR139W;viable;0
ATG45;YIL024C;viable;0
ATG45;YIL024C;viable;0
ATG5;YPL149W;viable;0
ATG7;YHR171W;viable;0
ATG8;YBL078C;viable;0
ATG9;YDL149W;viable;0
ATG9;YDL149W;viable;0
ATH1;YPR026W;viable;0
ATO2;YNR002C;viable;0
ATO3;YDR384C;viable;0
ATP1;YBL099W;viable;0
ATP10;YLR393W;viable;0
ATP11;YNL315C;viable;0
ATP12;YJL180C;viable;0
ATP14;YLR295C;viable;0
ATP15;YPL271W;viable;0
ATP17;YDR377W;viable;0
ATP18;YML081C-A;viable;0
ATP18;YML081C-A;viable;0
ATP19;YOL077W-A;viable;0
ATP2;YJR121W;viable;0
ATP20;YPR020W;viable;0
ATP22;YDR350C;viable;0
ATP23;YNR020C;viable;0
ATP25;YMR098C;viable;0
ATP3;YBR039W;viable;0
ATP4;YPL078C;viable;0
ATP5;YDR298C;viable;0
ATP7;YKL016C;viable;0
ATR1;YML116W;viable;0
ATR2;YMR279C;viable;0
ATR2;YMR279C;viable;0
ATS1;YAL020C;viable;0
ATS1;YAL020C;viable;0
ATX1;YNL259C;viable;0
ATX2;YOR079C;viable;0
